Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
6525,2024-03-31,2023-11-09,,77705000000,13373000000,,8813000000,38.25,36.96,360039000000,172136000000,0.478,,-9395000000,-7315000000,-3338000000,87550000000,,11.0,,180000000000,29109000000,,-49000000,87.67,,,,,
6525,2024-03-31,2024-02-09,,131661000000,24062000000,,16727000000,72.54,70.11,371193000000,180354000000,0.486,,-6952000000,-10636000000,-3268000000,86498000000,,11.0,,180000000000,29109000000,,20200000000,87.09,,,,,
6525,2024-03-31,2024-05-10,2025-03-31,180838000000,30745000000,,22374000000,96.82,93.7,375433000000,187388000000,0.499,804.49,2942000000,-11950000000,-6312000000,92619000000,11.0,,,,,,,,217500000000,44800000000,,29000000000,124.5
6525,2025-03-31,2024-08-08,,65224000000,17878000000,,13302000000,56.76,55.59,385454000000,199040000000,0.516,,4073000000,-7582000000,-2143000000,87775000000,,32.0,,217500000000,44800000000,,29000000000,123.52,,,,,
6525,2025-03-31,2024-11-11,,114548000000,27440000000,,18053000000,77.06,75.76,362238000000,182917000000,0.505,,18722000000,-16672000000,-24771000000,69333000000,,36.0,,238000000000,50200000000,,33300000000,142.76,,,,,
6525,2025-03-31,2025-02-07,,174665000000,39714000000,,26057000000,111.71,110.03,366400000000,187901000000,0.513,,20658000000,-24065000000,-28899000000,60722000000,,36.0,,238000000000,50200000000,,33300000000,142.3,,,,,
6525,2025-03-31,2025-05-13,2026-03-31,238933000000,51320000000,,36004000000,154.6,152.54,341512000000,196168000000,0.574,842.12,38477000000,-27706000000,-58106000000,44755000000,37.0,,,,,,,,244000000000,49200000000,,36000000000,154.54
6525,2026-03-31,2025-08-07,,51789000000,9717000000,,6776000000,29.08,28.97,341508000000,198916000000,0.582,,4923000000,-2942000000,-4423000000,42766000000,,36.0,,244000000000,49200000000,,36000000000,154.28,,,,,
6525,2026-03-31,2025-11-11,,117205000000,22710000000,,15558000000,66.72,66.51,343320000000,208309000000,0.607,,16859000000,-7731000000,-10796000000,43806000000,,36.0,,230000000000,38800000000,,27900000000,119.52,,,,,
6525,2026-03-31,2026-02-12,,173058000000,32519000000,,22822000000,97.84,97.53,352107000000,212844000000,0.604,,28397000000,-11994000000,-15135000000,47728000000,,36.0,,230000000000,38800000000,,27900000000,119.5,,,,,
